candidate,rare_threshold,accuracy,balanced_accuracy,macro_f1,n_errors,n_class1_pred,n_class2_pred,n_class3_pred
ensemble_robust_shift,0.5,0.9984375,0.9994284407864655,0.994477212545243,5,94,195,2911
ensemble_engineered,0.5,0.9984375,0.9959585232384914,0.9935324413235193,5,93,194,2913
ensemble_engineered,0.6,0.9984375,0.9959585232384914,0.9935324413235193,5,93,194,2913
ensemble_weight_search,0.5,0.9984375,0.9959585232384914,0.9935324413235193,5,93,194,2913
ensemble_equal_all,0.5,0.998125,0.9958442113957845,0.9926183682767052,6,93,195,2912
ensemble_equal_all,0.6,0.998125,0.9942133225404112,0.9926004952138548,6,93,193,2914
ensemble_weight_search,0.6,0.998125,0.9942133225404112,0.9926004952138548,6,93,193,2914
ensemble_engineered,0.7,0.998125,0.9907434049924371,0.9925616538438599,6,91,193,2916
ensemble_engineered,0.8,0.998125,0.9907434049924371,0.9925616538438599,6,91,193,2916
ensemble_tree_boost,0.5,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
ensemble_tree_boost,0.6,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.5,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.6,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.7,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.8,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.9,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.95,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
decision_tree_depth5,0.98,0.998125,0.9923742938478104,0.9916541388239501,6,92,194,2914
ensemble_robust_shift,0.6,0.9978125,0.9940990106977042,0.9916864689165586,7,93,194,2913
ensemble_tree_boost,0.7,0.9978125,0.9906290931497302,0.9907222123083468,7,92,193,2915
ensemble_equal_all,0.7,0.9975,0.9872530035962764,0.990684118881747,8,91,191,2918
ensemble_tree_boost,0.8,0.9971875,0.9871386917535695,0.9888446773966336,9,92,191,2917
ensemble_robust_shift,0.7,0.9971875,0.9871386917535695,0.9888446773966336,9,92,191,2917
ensemble_weight_search,0.7,0.9971875,0.9871386917535695,0.9888446773966336,9,92,191,2917
lgbm_regularized,0.7,0.996875,0.9888634086034633,0.9888634086034633,10,93,191,2916
ensemble_weight_search,0.8,0.996875,0.9819235735075152,0.9878401171886907,10,90,190,2920
lgbm_regularized,0.5,0.9965625,0.9938499031641039,0.9871352956452494,11,96,193,2911
ensemble_engineered,0.9,0.9965625,0.9783393441168342,0.985921581628577,11,89,190,2921
ensemble_tree_boost,0.9,0.99625,0.9782250322741272,0.9840828964458859,12,90,190,2920
ensemble_robust_shift,0.8,0.99625,0.9782250322741272,0.9840828964458859,12,90,190,2920
lgbm_regularized,0.6,0.9959375,0.9885204730753426,0.9843314938562835,13,95,192,2913
lgbm_regularized,0.8,0.995625,0.9745264910407393,0.9812305517658463,14,89,191,2920
ensemble_equal_all,0.8,0.994375,0.9571359356044958,0.9751271355663153,18,85,185,2930
ensemble_weight_search,0.9,0.9940625,0.9533435663765876,0.9720614915869525,19,83,188,2929
ensemble_engineered,0.95,0.9921875,0.9430805020253331,0.967212661757832,25,84,179,2937
ensemble_robust_shift,0.9,0.991875,0.9358182152494509,0.9629862221906375,26,81,181,2938
lgbm_regularized,0.9,0.99125,0.932119674016063,0.959952653265284,28,80,182,2938
ensemble_tree_boost,0.95,0.9859375,0.9061293195338996,0.9444776221173855,45,82,163,2955
lgbm_regularized,0.95,0.9746875,0.8161329436884533,0.8879455533824597,81,69,136,2995
ensemble_weight_search,0.95,0.9725,0.8149507109574957,0.8850191060251914,88,75,123,3002
ensemble_equal_all,0.9,0.9603125,0.7397399087991893,0.8224523336637274,127,72,85,3043
ensemble_robust_shift,0.95,0.955625,0.7135618983279851,0.7951186905321488,142,72,70,3058
decision_tree_depth5,0.99,0.950625,0.7254728988842345,0.762128123157535,158,92,40,3068
ensemble_engineered,0.98,0.93875,0.6082868884760457,0.6680821729577285,196,66,22,3112
ensemble_tree_boost,0.98,0.9321875,0.5716376738163599,0.6015772159266757,217,66,1,3133
ensemble_equal_all,0.95,0.928125,0.5232036630449061,0.5666751648014292,230,52,2,3146
ensemble_weight_search,0.98,0.92625,0.5035373153934207,0.5476508956691882,236,47,1,3152
lgbm_regularized,0.98,0.9240625,0.47109159488825086,0.5230533143489954,243,36,5,3159
ensemble_robust_shift,0.98,0.92375,0.4767025089605735,0.5204485869050507,244,40,0,3160
ensemble_equal_all,0.98,0.9196875,0.43010752688172044,0.4692642470027919,257,27,0,3173
ensemble_equal_all,0.99,0.9128125,0.35125448028673834,0.35212848025808263,279,5,0,3195
ensemble_tree_boost,0.99,0.9125,0.34767025089605735,0.34555423615983877,280,4,0,3196
ensemble_robust_shift,0.99,0.9115625,0.33691756272401435,0.3249989851719119,283,1,0,3199
ensemble_weight_search,0.99,0.9115625,0.33691756272401435,0.3249989851719119,283,1,0,3199
ensemble_engineered,0.99,0.91125,0.3333333333333333,0.31785480706344016,284,0,0,3200
lgbm_regularized,0.99,0.91125,0.3333333333333333,0.31785480706344016,284,0,0,3200
