model,fold,n_valid,accuracy,balanced_accuracy,macro_f1,validation
decision_tree_depth4,1,640,0.996875,0.9988584474885845,0.9860902313732502,stratified_5fold
decision_tree_depth4,2,640,0.99375,0.9977129788450543,0.9825923904677945,stratified_5fold
decision_tree_depth4,3,640,0.9984375,0.9994282447112636,0.9953848726380915,stratified_5fold
decision_tree_depth4,4,640,0.990625,0.9795973639071951,0.9640683032883413,stratified_5fold
decision_tree_depth4,5,640,0.9953125,0.9982847341337907,0.9820461376781239,stratified_5fold
decision_tree_depth4,1,640,0.9984375,0.9994121105232217,0.996755943314926,id_block_5fold
decision_tree_depth4,2,640,0.996875,0.9809203142536477,0.9840670700319823,id_block_5fold
decision_tree_depth4,3,640,0.9921875,0.9971655328798187,0.9643825495872882,id_block_5fold
decision_tree_depth4,4,640,0.9859375,0.9608753718205549,0.9537854465547074,id_block_5fold
decision_tree_depth4,5,640,0.996875,0.9988681380871535,0.989016439909297,id_block_5fold
decision_tree_depth5,1,640,0.996875,0.9809107052257738,0.9855764098914784,stratified_5fold
decision_tree_depth5,2,640,1.0,1.0,1.0,stratified_5fold
decision_tree_depth5,3,640,1.0,1.0,1.0,stratified_5fold
decision_tree_depth5,4,640,0.99375,0.9807408744846678,0.9727636564315891,stratified_5fold
decision_tree_depth5,5,640,1.0,1.0,1.0,stratified_5fold
decision_tree_depth5,1,640,1.0,1.0,1.0,id_block_5fold
decision_tree_depth5,2,640,0.9984375,0.9814814814814815,0.990195842845128,id_block_5fold
decision_tree_depth5,3,640,0.9953125,0.9982993197278912,0.9747572411785499,id_block_5fold
decision_tree_depth5,4,640,0.9921875,0.9631821768955261,0.9688025249823001,id_block_5fold
decision_tree_depth5,5,640,1.0,1.0,1.0,id_block_5fold
random_forest_depth8_bal,1,640,0.9953125,0.9803399289700659,0.9723627176457365,stratified_5fold
random_forest_depth8_bal,2,640,0.99375,0.9977129788450543,0.9825923904677945,stratified_5fold
random_forest_depth8_bal,3,640,0.996875,0.9818843850621407,0.9821578594110782,stratified_5fold
random_forest_depth8_bal,4,640,0.99375,0.9977129788450543,0.9776473166743106,stratified_5fold
random_forest_depth8_bal,5,640,0.9953125,0.9982847341337907,0.9820461376781239,stratified_5fold
random_forest_depth8_bal,1,640,0.996875,0.9988242210464433,0.9935631186328601,id_block_5fold
random_forest_depth8_bal,2,640,0.996875,0.9809203142536477,0.9787011176082436,id_block_5fold
random_forest_depth8_bal,3,640,0.9921875,0.9971655328798187,0.9643825495872882,id_block_5fold
random_forest_depth8_bal,4,640,0.9921875,0.9971164936562861,0.9802369654672001,id_block_5fold
random_forest_depth8_bal,5,640,0.996875,0.9988681380871535,0.989016439909297,id_block_5fold
extra_trees_bal,1,640,0.9703125,0.8107492856952122,0.8674957304398929,stratified_5fold
extra_trees_bal,2,640,0.9796875,0.868945868945869,0.9219903575471938,stratified_5fold
extra_trees_bal,3,640,0.975,0.8590773675182811,0.8910323782989318,stratified_5fold
extra_trees_bal,4,640,0.9796875,0.8596491228070176,0.9094897772192989,stratified_5fold
extra_trees_bal,5,640,0.9796875,0.8596491228070176,0.9094897772192989,stratified_5fold
extra_trees_bal,1,640,0.9609375,0.8102240896358542,0.86745791661522,id_block_5fold
extra_trees_bal,2,640,0.9875,0.896264229597563,0.9220694243394599,id_block_5fold
extra_trees_bal,3,640,0.98125,0.8531990148531502,0.8678118020134592,id_block_5fold
extra_trees_bal,4,640,0.9640625,0.8164720564588425,0.8735073834241271,id_block_5fold
extra_trees_bal,5,640,0.9859375,0.8973118279569893,0.9395428954541564,id_block_5fold
gradient_boosting,1,640,0.9984375,0.9994292237442922,0.9953853629946176,stratified_5fold
gradient_boosting,2,640,0.99375,0.9977129788450543,0.9825923904677945,stratified_5fold
gradient_boosting,3,640,1.0,1.0,1.0,stratified_5fold
gradient_boosting,4,640,0.99375,0.9807408744846678,0.9689380672749169,stratified_5fold
gradient_boosting,5,640,1.0,1.0,1.0,stratified_5fold
gradient_boosting,1,640,0.996875,0.9988242210464433,0.9935631186328601,id_block_5fold
gradient_boosting,2,640,1.0,1.0,1.0,id_block_5fold
gradient_boosting,3,640,0.9953125,0.9982993197278912,0.9747572411785499,id_block_5fold
gradient_boosting,4,640,0.9890625,0.9959630911188005,0.9728796428872232,id_block_5fold
gradient_boosting,5,640,1.0,1.0,1.0,id_block_5fold
lgbm_regularized,1,640,0.996875,0.9988584474885845,0.9860902313732502,stratified_5fold
lgbm_regularized,2,640,0.9984375,0.9994282447112636,0.9954944676843954,stratified_5fold
lgbm_regularized,3,640,0.9984375,0.9994282447112636,0.9953848726380915,stratified_5fold
lgbm_regularized,4,640,0.990625,0.9719689446601065,0.9675155033645599,stratified_5fold
lgbm_regularized,5,640,0.9984375,0.9994282447112636,0.9911668684200873,stratified_5fold
lgbm_regularized,1,640,0.9984375,0.9994121105232217,0.996755943314926,id_block_5fold
lgbm_regularized,2,640,1.0,1.0,1.0,id_block_5fold
lgbm_regularized,3,640,0.990625,0.9796216732306958,0.950750628101833,id_block_5fold
lgbm_regularized,4,640,0.9953125,0.9982698961937716,0.9878967422551819,id_block_5fold
lgbm_regularized,5,640,1.0,1.0,1.0,id_block_5fold
lgbm_engineered,1,640,0.9984375,0.9994292237442922,0.9953853629946176,stratified_5fold
lgbm_engineered,2,640,1.0,1.0,1.0,stratified_5fold
lgbm_engineered,3,640,1.0,1.0,1.0,stratified_5fold
lgbm_engineered,4,640,0.99375,0.972540699948843,0.9768604674265052,stratified_5fold
lgbm_engineered,5,640,1.0,1.0,1.0,stratified_5fold
lgbm_engineered,1,640,1.0,1.0,1.0,id_block_5fold
lgbm_engineered,2,640,0.9984375,0.9814814814814815,0.990195842845128,id_block_5fold
lgbm_engineered,3,640,0.9953125,0.9982993197278912,0.9747572411785499,id_block_5fold
lgbm_engineered,4,640,0.9953125,0.9982698961937716,0.9878967422551819,id_block_5fold
lgbm_engineered,5,640,1.0,1.0,1.0,id_block_5fold
lgbm_adv_weighted,1,640,0.996875,0.9988584474885845,0.9860902313732502,stratified_5fold
lgbm_adv_weighted,2,640,0.996875,0.9988564894225272,0.991093928980527,stratified_5fold
lgbm_adv_weighted,3,640,0.9984375,0.9994282447112636,0.9953848726380915,stratified_5fold
lgbm_adv_weighted,4,640,0.990625,0.9719689446601065,0.9675155033645599,stratified_5fold
lgbm_adv_weighted,5,640,0.9953125,0.9982847341337907,0.9820461376781239,stratified_5fold
lgbm_adv_weighted,1,640,0.9984375,0.9994121105232217,0.996755943314926,id_block_5fold
lgbm_adv_weighted,2,640,0.9984375,0.9880952380952381,0.9936590463083315,id_block_5fold
lgbm_adv_weighted,3,640,0.990625,0.9796216732306958,0.955156260456401,id_block_5fold
lgbm_adv_weighted,4,640,0.9953125,0.9982698961937716,0.9878967422551819,id_block_5fold
lgbm_adv_weighted,5,640,0.996875,0.9988681380871535,0.989016439909297,id_block_5fold
logreg_engineered_bal,1,640,0.996875,0.9988584474885845,0.9860902313732502,stratified_5fold
logreg_engineered_bal,2,640,1.0,1.0,1.0,stratified_5fold
logreg_engineered_bal,3,640,1.0,1.0,1.0,stratified_5fold
logreg_engineered_bal,4,640,0.9953125,0.9813126297734044,0.98158561334527,stratified_5fold
logreg_engineered_bal,5,640,1.0,1.0,1.0,stratified_5fold
logreg_engineered_bal,1,640,1.0,1.0,1.0,id_block_5fold
logreg_engineered_bal,2,640,0.9984375,0.9814814814814815,0.990195842845128,id_block_5fold
logreg_engineered_bal,3,640,0.9953125,0.9982993197278912,0.9747572411785499,id_block_5fold
logreg_engineered_bal,4,640,0.9953125,0.9982698961937716,0.9878967422551819,id_block_5fold
logreg_engineered_bal,5,640,1.0,1.0,1.0,id_block_5fold
