feature,adversarial_importance
f2,0.18291631689107282
f10,0.15724646198844705
f14,0.14990161048607548
f20,0.1488893987471518
f9,0.14227210880509703
f1,0.13600926678481398
f4,0.015708472015635765
f12,0.0087336420155766
f3,0.007922112590065467
f13,0.0077769402753116584
f6,0.007610428476367328
f7,0.005948458599272466
f18,0.0054179461075738984
f11,0.004975285388531858
f17,0.00414438483542005
f5,0.004110893080651936
f15,0.0031413739937166856
f8,0.002649897969072692
f16,0.00234497894788165
f21,0.002166247426374823
f19,0.00011377457588900228
